node,name
prot722,HEATR9
prot723,TMEM218
prot724,TESPA1
prot725,LINC02872
prot726,SMCO3
prot727,HYKK
prot728,HMX2
prot729,FAM234B
prot730,MEIOC
prot731,CCDC66
prot732,TYW5
prot733,XKRY2
prot734,MYBPHL
prot735,C17orf102
prot736,CCDC144A
prot737,DENND3
prot738,TMEM89
prot739,CLPSL1
prot740,DCDC2B
prot741,FUOM
prot742,TMEM131L
prot743,SSPOP
prot744,OR2M5
prot745,VWA8
prot746,GPX6
prot747,SBNO1
prot748,PRAMEF22
prot749,PRAMEF27
prot750,LAMB4
prot751,C7orf66
prot752,SMIM30
prot753,CPED1
prot754,C7orf77
prot755,CRPPA
prot756,FAM221A
prot757,GSAP
prot758,ZNF804B
prot759,GTPBP10
prot760,LRRD1
prot761,-
prot762,WDR91
prot763,KLRG2
prot764,RAB19
prot765,PRSS37
prot766,DENND11
prot767,GRIFIN
prot768,BLACE
prot769,CDC14C
prot770,SPATA48
prot771,MBLAC1
prot772,PMS2P1
prot773,OR2A25
prot774,CTAGE15
prot775,GRID2IP
prot776,MTMR11
prot777,CTAGE9
prot778,SH3D21
prot779,EFCAB5
prot780,EME2
prot781,SLC35F4
prot782,C5orf49
prot783,LINC01553
prot784,LRP5L
prot785,PI4KAP2
prot786,XIRP2
prot787,POTEF
prot788,FITM1
prot789,CLEC18A
prot790,VPS37C
prot791,CCDC151
prot792,CFAP69
prot793,PSMB11
prot794,PSD
prot795,KRBA1
prot796,RGSL1
prot797,ANKRD34B
prot798,PEDS1
prot799,FAM149A
prot800,TRAPPC13
prot801,HTR3E
prot802,CNOT1
prot803,ARHGEF35
prot804,CARNS1
prot805,MEGF11
prot806,CDHR4
prot807,BDP1
prot808,FAM221B
prot809,C5orf63
prot810,DPPA5
prot811,TMEM150B
prot812,ANKRD62
prot813,RBAKDN
prot814,GOLGA8IP
prot815,PINLYP
prot816,FAM172BP
prot817,CCDC88B
prot818,GOLGA8O
prot819,MAP1LC3B2
prot820,KLHL33
prot821,MAGEA13P
prot822,VWA3A
prot823,LINC00862
prot824,C2orf78
prot825,C19orf71
prot826,TRIM43B
prot827,GMNC
prot828,LRCOL1
prot829,ANKRD33B
prot830,IQCA1L
prot831,KRT87P
prot832,TEX52
prot833,RNF222
prot834,NKX2-6
prot835,C2orf72
prot836,OR6C74
prot837,USP17L3
prot838,USP17L4
prot839,IZUMO1R
prot840,FAM83G
prot841,OR14I1
prot842,ASPDH
prot843,LRIT2
prot844,PALM3
prot845,SYNDIG1L
prot846,RBMY1B
prot847,GAGE12H
prot848,PGP
prot849,OR5H15
prot850,TRIM49B
prot851,GOLGA6C
prot852,METTL21EP
prot853,OR6C68
prot854,GOLGA6B
prot855,-
prot856,MYADML2
prot857,MEIS3P1
prot858,TBC1D3B
prot859,C5orf51
prot860,TMEM8B
prot861,-
prot862,ZNF840P
prot863,PABPN1L
prot864,FAM90A10P
prot865,MBD3L4
prot866,FAM186A
prot867,BTBD17
prot868,FAM90A19P
prot869,WDR97
prot870,MBD3L3
prot871,NPEPPSL1
prot872,RCCD1
prot873,PLEKHD1
prot874,GOLGA6L4
prot875,TMEM247
prot876,ZNF503-AS2
prot877,ARRDC5
prot878,SOWAHB
prot879,FAM86C2P
prot880,GOLGA6L9
prot881,CXorf65
prot882,RBMY1E
prot883,FAM181B
prot884,TBC1D3F
prot885,GAGE12J
prot886,MROH2A
prot887,OR5K3
prot888,PRR23A
prot889,FAM90A17P
prot890,GOLGA6L3
prot891,PRORSD1P
prot892,POM121B
prot893,ANTXRL
prot894,CCDC182
prot895,NUPR2
prot896,OR6C6
prot897,FAM205C
prot898,TRABD2B
prot899,TMEM235
prot900,OR2W5
prot901,HELT
prot902,SMCO2
prot903,EFCAB10
prot904,NAP1L6P
prot905,FABP12
prot906,ZNF316
prot907,GRXCR2
prot908,RBFOX3
prot909,ANKUB1
prot910,TCAF2
prot911,DPRX
prot912,C5orf60
prot913,CFAP73
prot914,FAM187A
prot915,PGPEP1L
prot916,MFSD2B
prot917,NEMP2
prot918,SDHAF1
